date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_percent,discounted_price,revenue,days_since_purchase,gross_value,city,province,country,province_code,timezone,population,latitude,longitude
2025-03-02,CUST1055,Monitor,330.52,5.0,NEW25,Richmond Hill,25.0,247.89,1239.4499999999998,285,1652.6,Richmond Hill,Ontario,Canada,ON,America/Toronto,202022,43.8828,-79.4403
2025-03-02,CUST1103,Smartwatch,145.63,4.0,WELCOME10,Waterloo,10.0,131.067,524.268,285,582.52,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-04-02,CUST1089,Laptop,1092.8,2.0,NEW25,Cambridge,25.0,819.5999999999999,1639.1999999999998,254,2185.6,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-04-02,CUST1061,Headphones,61.24,4.0,WELCOME10,Windsor,10.0,55.116,220.464,254,244.96,Windsor,Ontario,Canada,ON,America/Toronto,233763,42.3149,-83.0364
2025-04-02,CUST1026,Laptop,964.73,5.0,WELCOME10,Burlington,10.0,868.2570000000001,4341.285,254,4823.65,Burlington,Ontario,Canada,ON,America/Toronto,186948,43.3255,-79.799
2025-05-02,CUST1072,Tablet,429.78,3.0,NEW25,Kitchener,25.0,322.335,967.0049999999999,224,1289.34,Kitchener,Ontario,Canada,ON,America/Toronto,256885,43.4516,-80.4925
2025-05-02,CUST1037,USB Drive,56.01,1.0,WELCOME10,Hamilton,10.0,50.409,50.409,224,56.01,Hamilton,Ontario,Canada,ON,America/Toronto,569353,43.2557,-79.8711
2025-06-02,CUST1132,Laptop,1645.6,2.0,TECH20,Cambridge,20.0,1316.48,2632.96,193,3291.2,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-07-02,CUST1033,Tablet,776.34,3.0,NEW25,Mississauga,25.0,582.255,1746.7649999999999,163,2329.02,Mississauga,Ontario,Canada,ON,America/Toronto,717961,43.589,-79.6441
2025-07-02,CUST1049,USB Drive,52.2,5.0,NEW25,Cambridge,25.0,39.150000000000006,195.75000000000003,163,261.0,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-07-02,CUST1016,Tablet,408.2,2.0,FREESHIP,Oakville,0.0,408.2,816.4,163,816.4,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-08-02,CUST1013,Laptop,1276.34,1.0,FREESHIP,Brampton,0.0,1276.34,1276.34,132,1276.34,Brampton,Ontario,Canada,ON,America/Toronto,656480,43.7315,-79.7624
2025-09-02,CUST1024,Monitor,524.26,5.0,SUMMER10,Kitchener,10.0,471.834,2359.17,101,2621.3,Kitchener,Ontario,Canada,ON,America/Toronto,256885,43.4516,-80.4925
2025-09-02,CUST1074,Keyboard,71.19,2.0,TECH20,Richmond Hill,20.0,56.952,113.904,101,142.38,Richmond Hill,Ontario,Canada,ON,America/Toronto,202022,43.8828,-79.4403
2025-10-02,CUST1098,Headphones,92.69,5.0,NEW25,Vaughan,25.0,69.5175,347.5875,71,463.45,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-11-02,CUST1070,USB Drive,13.48,4.0,NEW25,Oakville,25.0,10.11,40.44,40,53.92,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-11-02,CUST1121,Tablet,376.59,1.0,NEW25,Kitchener,25.0,282.4425,282.4425,40,376.59,Kitchener,Ontario,Canada,ON,America/Toronto,256885,43.4516,-80.4925
2025-11-02,CUST1036,Monitor,551.86,2.0,SAVE15,Oakville,15.0,469.081,938.162,40,1103.72,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-12-02,CUST1145,Smartwatch,295.48,1.0,NONE,Ottawa,0.0,295.48,295.48,10,295.48,Ottawa,Ontario,Canada,ON,America/Toronto,1017449,45.4215,-75.6972
2025-01-03,CUST1104,Monitor,263.58,5.0,NONE,Toronto,0.0,263.58,1317.8999999999999,343,1317.8999999999999,Toronto,Ontario,Canada,ON,America/Toronto,2794356,43.6532,-79.3832
2025-02-03,CUST1061,Smartphone,839.07,2.0,NONE,Hamilton,0.0,839.07,1678.14,312,1678.14,Hamilton,Ontario,Canada,ON,America/Toronto,569353,43.2557,-79.8711
2025-02-03,CUST1123,Keyboard,174.31,2.0,NEW25,Waterloo,25.0,130.73250000000002,261.46500000000003,312,348.62,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-04-03,CUST1117,Webcam,99.84,2.0,NONE,Burlington,0.0,99.84,199.68,253,199.68,Burlington,Ontario,Canada,ON,America/Toronto,186948,43.3255,-79.799
2025-04-03,CUST1013,Mouse,43.76,2.0,FREESHIP,Cambridge,0.0,43.76,87.52,253,87.52,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-05-03,CUST1099,Smartphone,540.01,3.0,FREESHIP,Richmond Hill,0.0,540.01,1620.03,223,1620.03,Richmond Hill,Ontario,Canada,ON,America/Toronto,202022,43.8828,-79.4403
2025-09-03,CUST1078,Keyboard,179.35,2.0,NONE,Windsor,0.0,179.35,358.7,100,358.7,Windsor,Ontario,Canada,ON,America/Toronto,233763,42.3149,-83.0364
2025-09-03,CUST1090,Keyboard,105.88,1.0,SAVE15,Richmond Hill,15.0,89.99799999999999,89.99799999999999,100,105.88,Richmond Hill,Ontario,Canada,ON,America/Toronto,202022,43.8828,-79.4403
2025-09-03,CUST1147,Smartwatch,185.69,5.0,FREESHIP,Vaughan,0.0,185.69,928.45,100,928.45,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-10-03,CUST1037,Mouse,33.71,1.0,SUMMER10,Waterloo,10.0,30.339000000000002,30.339000000000002,70,33.71,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-10-03,CUST1130,Webcam,148.78,4.0,TECH20,Vaughan,20.0,119.024,476.096,70,595.12,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-12-03,CUST1028,Webcam,189.23,5.0,NEW25,Waterloo,25.0,141.92249999999999,709.6125,9,946.15,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-01-04,CUST1106,Keyboard,159.69,1.0,SAVE15,Hamilton,15.0,135.7365,135.7365,342,159.69,Hamilton,Ontario,Canada,ON,America/Toronto,569353,43.2557,-79.8711
2025-02-04,CUST1130,Mouse,117.19,1.0,NONE,Cambridge,0.0,117.19,117.19,311,117.19,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-03-04,CUST1140,Smartphone,830.61,3.0,TECH20,Mississauga,20.0,664.488,1993.4640000000002,283,2491.83,Mississauga,Ontario,Canada,ON,America/Toronto,717961,43.589,-79.6441
2025-03-04,CUST1141,USB Drive,79.81,1.0,NEW25,Burlington,25.0,59.8575,59.8575,283,79.81,Burlington,Ontario,Canada,ON,America/Toronto,186948,43.3255,-79.799
2025-04-04,CUST1072,Smartwatch,156.07,4.0,SAVE15,London,15.0,132.65949999999998,530.6379999999999,252,624.28,London,Ontario,Canada,ON,America/Toronto,422324,42.9849,-81.2453
2025-04-04,CUST1034,Webcam,177.96,4.0,SUMMER10,Windsor,10.0,160.16400000000002,640.6560000000001,252,711.84,Windsor,Ontario,Canada,ON,America/Toronto,233763,42.3149,-83.0364
2025-04-04,CUST1096,Keyboard,75.81,2.0,SUMMER10,Oakville,10.0,68.229,136.458,252,151.62,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-06-04,CUST1111,Tablet,640.83,4.0,WELCOME10,Hamilton,10.0,576.7470000000001,2306.9880000000003,191,2563.32,Hamilton,Ontario,Canada,ON,America/Toronto,569353,43.2557,-79.8711
2025-06-04,CUST1111,Smartphone,532.51,4.0,SUMMER10,Kitchener,10.0,479.259,1917.036,191,2130.04,Kitchener,Ontario,Canada,ON,America/Toronto,256885,43.4516,-80.4925
2025-06-04,CUST1075,Tablet,751.57,1.0,WELCOME10,Markham,10.0,676.413,676.413,191,751.57,Markham,Ontario,Canada,ON,America/Toronto,338503,43.8561,-79.337
2025-08-04,CUST1025,Smartwatch,423.0,1.0,NEW25,Oakville,25.0,317.25,317.25,130,423.0,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-08-04,CUST1014,Smartphone,935.64,3.0,FREESHIP,Cambridge,0.0,935.64,2806.92,130,2806.92,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-08-04,CUST1032,Laptop,1137.95,4.0,WELCOME10,Cambridge,10.0,1024.155,4096.62,130,4551.8,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-08-04,CUST1066,Tablet,829.65,1.0,NEW25,Oakville,25.0,622.2375,622.2375,130,829.65,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-09-04,CUST1064,Mouse,81.01,3.0,SUMMER10,Markham,10.0,72.909,218.72700000000003,99,243.03000000000003,Markham,Ontario,Canada,ON,America/Toronto,338503,43.8561,-79.337
2025-10-04,CUST1090,Smartphone,930.6,3.0,NEW25,London,25.0,697.95,2093.8500000000004,69,2791.8,London,Ontario,Canada,ON,America/Toronto,422324,42.9849,-81.2453
2025-11-04,CUST1085,Tablet,406.63,2.0,FREESHIP,Waterloo,0.0,406.63,813.26,38,813.26,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-12-04,CUST1099,Smartwatch,438.12,4.0,WELCOME10,Vaughan,10.0,394.308,1577.232,8,1752.48,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-01-05,CUST1080,USB Drive,33.46,2.0,NONE,Vaughan,0.0,33.46,66.92,341,66.92,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-02-05,CUST1114,Monitor,454.36,5.0,TECH20,Ottawa,20.0,363.48800000000006,1817.4400000000003,310,2271.8,Ottawa,Ontario,Canada,ON,America/Toronto,1017449,45.4215,-75.6972
2025-02-05,CUST1043,Laptop,1765.9,4.0,FREESHIP,Burlington,0.0,1765.9,7063.6,310,7063.6,Burlington,Ontario,Canada,ON,America/Toronto,186948,43.3255,-79.799
2025-03-05,CUST1142,Keyboard,89.49,3.0,NONE,Markham,0.0,89.49,268.46999999999997,282,268.46999999999997,Markham,Ontario,Canada,ON,America/Toronto,338503,43.8561,-79.337
2025-03-05,CUST1080,Smartwatch,193.6,4.0,NONE,Vaughan,0.0,193.6,774.4,282,774.4,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-04-05,CUST1065,Headphones,236.33,2.0,NEW25,Oakville,25.0,177.2475,354.495,251,472.66,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-05-05,CUST1038,Tablet,546.06,1.0,NONE,London,0.0,546.06,546.06,221,546.06,London,Ontario,Canada,ON,America/Toronto,422324,42.9849,-81.2453
2025-05-05,CUST1058,Tablet,521.3,3.0,NEW25,London,25.0,390.97499999999997,1172.925,221,1563.8999999999999,London,Ontario,Canada,ON,America/Toronto,422324,42.9849,-81.2453
2025-05-05,CUST1079,Keyboard,90.66,5.0,TECH20,Burlington,20.0,72.528,362.64000000000004,221,453.29999999999995,Burlington,Ontario,Canada,ON,America/Toronto,186948,43.3255,-79.799
2025-05-05,CUST1117,Smartwatch,492.1,5.0,SAVE15,Oakville,15.0,418.285,2091.425,221,2460.5,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-06-05,CUST1136,Monitor,343.81,4.0,SUMMER10,Cambridge,10.0,309.42900000000003,1237.7160000000001,190,1375.24,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-06-05,CUST1023,USB Drive,28.79,3.0,FREESHIP,Vaughan,0.0,28.79,86.37,190,86.37,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-06-05,CUST1122,Headphones,47.57,5.0,NONE,Ottawa,0.0,47.57,237.85,190,237.85,Ottawa,Ontario,Canada,ON,America/Toronto,1017449,45.4215,-75.6972
2025-07-05,CUST1071,Smartwatch,280.03,5.0,FREESHIP,Cambridge,0.0,280.03,1400.1499999999999,160,1400.1499999999999,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-07-05,CUST1127,Smartphone,761.12,5.0,SUMMER10,Vaughan,10.0,685.008,3425.04,160,3805.6,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-07-05,CUST1052,Laptop,1529.66,1.0,SUMMER10,Brampton,10.0,1376.6940000000002,1376.6940000000002,160,1529.66,Brampton,Ontario,Canada,ON,America/Toronto,656480,43.7315,-79.7624
2025-09-05,CUST1060,Smartwatch,208.37,1.0,NEW25,Vaughan,25.0,156.2775,156.2775,98,208.37,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-11-05,CUST1075,Keyboard,145.1,3.0,WELCOME10,Toronto,10.0,130.59,391.77,37,435.29999999999995,Toronto,Ontario,Canada,ON,America/Toronto,2794356,43.6532,-79.3832
2025-01-06,CUST1084,Headphones,67.94,4.0,SAVE15,Vaughan,15.0,57.748999999999995,230.99599999999998,340,271.76,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-01-06,CUST1079,Smartphone,727.92,4.0,SUMMER10,Hamilton,10.0,655.1279999999999,2620.5119999999997,340,2911.68,Hamilton,Ontario,Canada,ON,America/Toronto,569353,43.2557,-79.8711
2025-02-06,CUST1074,Keyboard,171.22,2.0,NEW25,Hamilton,25.0,128.415,256.83,309,342.44,Hamilton,Ontario,Canada,ON,America/Toronto,569353,43.2557,-79.8711
2025-03-06,CUST1042,Tablet,850.21,5.0,SAVE15,Waterloo,15.0,722.6785,3613.3925,281,4251.05,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-03-06,CUST1012,Smartwatch,227.56,1.0,WELCOME10,London,10.0,204.804,204.804,281,227.56,London,Ontario,Canada,ON,America/Toronto,422324,42.9849,-81.2453
2025-03-06,CUST1097,Tablet,485.78,2.0,NONE,Kitchener,0.0,485.78,971.56,281,971.56,Kitchener,Ontario,Canada,ON,America/Toronto,256885,43.4516,-80.4925
2025-04-06,CUST1105,Smartwatch,463.76,1.0,SAVE15,Toronto,15.0,394.19599999999997,394.19599999999997,250,463.76,Toronto,Ontario,Canada,ON,America/Toronto,2794356,43.6532,-79.3832
2025-04-06,CUST1124,Mouse,84.19,2.0,NONE,Ottawa,0.0,84.19,168.38,250,168.38,Ottawa,Ontario,Canada,ON,America/Toronto,1017449,45.4215,-75.6972
2025-05-06,CUST1002,Smartwatch,142.79,4.0,TECH20,London,20.0,114.232,456.928,220,571.16,London,Ontario,Canada,ON,America/Toronto,422324,42.9849,-81.2453
2025-07-06,CUST1114,Smartphone,491.52,3.0,NONE,Markham,0.0,491.52,1474.56,159,1474.56,Markham,Ontario,Canada,ON,America/Toronto,338503,43.8561,-79.337
2025-08-06,CUST1119,Monitor,378.3,4.0,WELCOME10,Toronto,10.0,340.47,1361.88,128,1513.2,Toronto,Ontario,Canada,ON,America/Toronto,2794356,43.6532,-79.3832
2025-09-06,CUST1148,USB Drive,11.8,4.0,FREESHIP,Hamilton,0.0,11.8,47.2,97,47.2,Hamilton,Ontario,Canada,ON,America/Toronto,569353,43.2557,-79.8711
2025-10-06,CUST1112,Monitor,477.85,5.0,SUMMER10,Mississauga,10.0,430.06500000000005,2150.3250000000003,67,2389.25,Mississauga,Ontario,Canada,ON,America/Toronto,717961,43.589,-79.6441
2025-10-06,CUST1072,Webcam,123.39,2.0,WELCOME10,Toronto,10.0,111.051,222.102,67,246.78,Toronto,Ontario,Canada,ON,America/Toronto,2794356,43.6532,-79.3832
2025-11-06,CUST1067,USB Drive,49.57,2.0,NEW25,Hamilton,25.0,37.1775,74.355,36,99.14,Hamilton,Ontario,Canada,ON,America/Toronto,569353,43.2557,-79.8711
2025-11-06,CUST1005,Headphones,327.92,2.0,SUMMER10,Brampton,10.0,295.12800000000004,590.2560000000001,36,655.84,Brampton,Ontario,Canada,ON,America/Toronto,656480,43.7315,-79.7624
2025-11-06,CUST1116,Mouse,34.03,5.0,WELCOME10,London,10.0,30.627000000000002,153.13500000000002,36,170.15,London,Ontario,Canada,ON,America/Toronto,422324,42.9849,-81.2453
2025-11-06,CUST1080,Keyboard,162.87,5.0,FREESHIP,London,0.0,162.87,814.35,36,814.35,London,Ontario,Canada,ON,America/Toronto,422324,42.9849,-81.2453
2025-12-06,CUST1125,Webcam,126.0,5.0,WELCOME10,Waterloo,10.0,113.4,567.0,6,630.0,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-01-07,CUST1069,USB Drive,46.85,4.0,WELCOME10,Richmond Hill,10.0,42.165,168.66,339,187.4,Richmond Hill,Ontario,Canada,ON,America/Toronto,202022,43.8828,-79.4403
2025-02-07,CUST1142,Smartwatch,296.24,4.0,FREESHIP,Brampton,0.0,296.24,1184.96,308,1184.96,Brampton,Ontario,Canada,ON,America/Toronto,656480,43.7315,-79.7624
2025-04-07,CUST1065,Mouse,29.33,1.0,TECH20,Cambridge,20.0,23.464,23.464,249,29.33,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-04-07,CUST1046,Keyboard,74.44,3.0,WELCOME10,Hamilton,10.0,66.996,200.988,249,223.32,Hamilton,Ontario,Canada,ON,America/Toronto,569353,43.2557,-79.8711
2025-05-07,CUST1079,Laptop,823.05,2.0,WELCOME10,Vaughan,10.0,740.745,1481.49,219,1646.1,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-05-07,CUST1142,USB Drive,49.33,3.0,WELCOME10,Oakville,10.0,44.397,133.191,219,147.99,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-05-07,CUST1148,USB Drive,71.98,2.0,NEW25,Mississauga,25.0,53.985,107.97,219,143.96,Mississauga,Ontario,Canada,ON,America/Toronto,717961,43.589,-79.6441
2025-07-07,CUST1136,Headphones,283.82,5.0,TECH20,London,20.0,227.056,1135.28,158,1419.1,London,Ontario,Canada,ON,America/Toronto,422324,42.9849,-81.2453
2025-09-07,CUST1081,Monitor,561.45,4.0,WELCOME10,Waterloo,10.0,505.30500000000006,2021.2200000000003,96,2245.8,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-09-07,CUST1056,Mouse,23.27,4.0,FREESHIP,Vaughan,0.0,23.27,93.08,96,93.08,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-10-07,CUST1114,Smartwatch,479.53,1.0,SUMMER10,Brampton,10.0,431.577,431.577,66,479.53,Brampton,Ontario,Canada,ON,America/Toronto,656480,43.7315,-79.7624
2025-11-07,CUST1040,Monitor,449.3,4.0,WELCOME10,Mississauga,10.0,404.37,1617.48,35,1797.2,Mississauga,Ontario,Canada,ON,America/Toronto,717961,43.589,-79.6441
2025-12-07,CUST1116,Mouse,82.78,1.0,NEW25,Ottawa,25.0,62.085,62.085,5,82.78,Ottawa,Ontario,Canada,ON,America/Toronto,1017449,45.4215,-75.6972
2025-01-08,CUST1070,Smartwatch,342.83,2.0,NONE,Kitchener,0.0,342.83,685.66,338,685.66,Kitchener,Ontario,Canada,ON,America/Toronto,256885,43.4516,-80.4925
2025-02-08,CUST1143,Laptop,1318.62,5.0,SAVE15,Oakville,15.0,1120.8269999999998,5604.134999999998,307,6593.099999999999,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-02-08,CUST1048,Monitor,258.25,1.0,SUMMER10,Richmond Hill,10.0,232.425,232.425,307,258.25,Richmond Hill,Ontario,Canada,ON,America/Toronto,202022,43.8828,-79.4403
2025-03-08,CUST1042,Tablet,552.03,2.0,NONE,Waterloo,0.0,552.03,1104.06,279,1104.06,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-03-08,CUST1138,Mouse,95.35,5.0,NONE,Waterloo,0.0,95.35,476.75,279,476.75,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-03-08,CUST1117,Webcam,93.03,3.0,SAVE15,Richmond Hill,15.0,79.0755,237.22650000000002,279,279.09000000000003,Richmond Hill,Ontario,Canada,ON,America/Toronto,202022,43.8828,-79.4403
2025-04-08,CUST1126,Monitor,155.69,1.0,FREESHIP,Richmond Hill,0.0,155.69,155.69,248,155.69,Richmond Hill,Ontario,Canada,ON,America/Toronto,202022,43.8828,-79.4403
2025-05-08,CUST1071,Laptop,801.53,1.0,WELCOME10,Richmond Hill,10.0,721.377,721.377,218,801.53,Richmond Hill,Ontario,Canada,ON,America/Toronto,202022,43.8828,-79.4403
2025-05-08,CUST1034,Monitor,517.7,4.0,WELCOME10,Vaughan,10.0,465.93000000000006,1863.7200000000003,218,2070.8,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-06-08,CUST1141,Webcam,156.18,3.0,TECH20,Hamilton,20.0,124.94400000000002,374.83200000000005,187,468.54,Hamilton,Ontario,Canada,ON,America/Toronto,569353,43.2557,-79.8711
2025-08-08,CUST1055,Webcam,129.54,4.0,TECH20,Richmond Hill,20.0,103.632,414.528,126,518.16,Richmond Hill,Ontario,Canada,ON,America/Toronto,202022,43.8828,-79.4403
2025-08-08,CUST1144,USB Drive,25.83,5.0,SUMMER10,Cambridge,10.0,23.247,116.235,126,129.14999999999998,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-09-08,CUST1026,Smartwatch,302.22,1.0,NONE,Cambridge,0.0,302.22,302.22,95,302.22,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-10-08,CUST1083,Smartphone,998.04,5.0,TECH20,Toronto,20.0,798.432,3992.16,65,4990.2,Toronto,Ontario,Canada,ON,America/Toronto,2794356,43.6532,-79.3832
2025-11-08,CUST1046,Smartwatch,382.92,5.0,NEW25,Markham,25.0,287.19,1435.95,34,1914.6000000000001,Markham,Ontario,Canada,ON,America/Toronto,338503,43.8561,-79.337
2025-11-08,CUST1041,Monitor,200.2,4.0,WELCOME10,Hamilton,10.0,180.18,720.72,34,800.8,Hamilton,Ontario,Canada,ON,America/Toronto,569353,43.2557,-79.8711
2025-11-08,CUST1071,Monitor,426.68,1.0,WELCOME10,Cambridge,10.0,384.012,384.012,34,426.68,Cambridge,Ontario,Canada,ON,America/Toronto,138479,43.3616,-80.3144
2025-01-09,CUST1129,Keyboard,78.23,2.0,WELCOME10,Burlington,10.0,70.40700000000001,140.81400000000002,337,156.46,Burlington,Ontario,Canada,ON,America/Toronto,186948,43.3255,-79.799
2025-01-09,CUST1141,Headphones,79.8,2.0,TECH20,Kitchener,20.0,63.84,127.68,337,159.6,Kitchener,Ontario,Canada,ON,America/Toronto,256885,43.4516,-80.4925
2025-02-09,CUST1040,Keyboard,173.6,4.0,NEW25,Waterloo,25.0,130.2,520.8,306,694.4,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-04-09,CUST1076,Headphones,119.66,3.0,NONE,Mississauga,0.0,119.66,358.98,247,358.98,Mississauga,Ontario,Canada,ON,America/Toronto,717961,43.589,-79.6441
2025-06-09,CUST1050,Monitor,576.45,2.0,SAVE15,Brampton,15.0,489.9825,979.965,186,1152.9,Brampton,Ontario,Canada,ON,America/Toronto,656480,43.7315,-79.7624
2025-06-09,CUST1035,Monitor,578.33,2.0,NONE,Oakville,0.0,578.33,1156.66,186,1156.66,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-07-09,CUST1040,Webcam,182.37,2.0,TECH20,Vaughan,20.0,145.89600000000002,291.79200000000003,156,364.74,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-09-09,CUST1027,Headphones,237.74,1.0,SUMMER10,Markham,10.0,213.966,213.966,94,237.74,Markham,Ontario,Canada,ON,America/Toronto,338503,43.8561,-79.337
2025-09-09,CUST1115,Smartwatch,358.36,1.0,WELCOME10,Markham,10.0,322.524,322.524,94,358.36,Markham,Ontario,Canada,ON,America/Toronto,338503,43.8561,-79.337
